customer_id,first_name,last_name,email,phone,city,state,country,segment
CUST0001,Christian,Curtis,christian.curtis@example.com,001-290-062-5596x5276,East Jonchester,TX,USA,Retail
CUST0002,Wendy,Perez,wendy.perez@example.com,+1-702-428-2342x4122,Juliebury,LA,USA,Corporate
CUST0003,Pamela,Robinson,pamela.robinson@example.com,0155127395,West Sophia,NC,USA,SME
CUST0004,Patrick,Young,patrick.young@example.com,(908)215-1129,North Johnberg,AR,USA,Retail
CUST0005,Rhonda,Meadows,rhonda.meadows@example.com,900.680.3419,Port Lauren,AZ,USA,Corporate
CUST0006,Cynthia,Gibbs,cynthia.gibbs@example.com,9340645651,South Donnastad,OH,USA,Corporate
CUST0007,Jason,Walker,jason.walker@example.com,+1-718-822-4565x1677,East Martha,ME,USA,Corporate
CUST0008,Lee,Medina,lee.medina@example.com,(932)966-8158x59391,New Ashley,DC,USA,Retail
CUST0009,Bonnie,Moore,bonnie.moore@example.com,614-919-7780x222,Amymouth,NC,USA,Retail
CUST0010,Kevin,Beck,kevin.beck@example.com,0329255980,New Crystal,MA,USA,SME
CUST0011,Devin,Abbott,devin.abbott@example.com,897.053.5227,Joshuatown,MI,USA,SME
CUST0012,Carol,Mitchell,carol.mitchell@example.com,578-801-1904x404,Port Jacobtown,AK,USA,Retail
CUST0013,Jason,Williams,jason.williams@example.com,+1-108-292-1986,Michellemouth,LA,USA,SME
CUST0014,Christina,Mccoy,christina.mccoy@example.com,7057364641,Millerhaven,IN,USA,Corporate
CUST0015,Rachael,Green,rachael.green@example.com,(788)641-1428,Seanside,DC,USA,Corporate
CUST0016,Carly,Johnson,carly.johnson@example.com,(091)878-4785,North Kari,RI,USA,Retail
CUST0017,Kendra,Price,kendra.price@example.com,512-378-7504,East Williefurt,MT,USA,Retail
CUST0018,Samantha,Ramirez,samantha.ramirez@example.com,001-960-705-4271,West John,LA,USA,Retail
CUST0019,Patricia,Higgins,patricia.higgins@example.com,355.074.1367,Marcoland,MO,USA,SME
CUST0020,Corey,Brown,corey.brown@example.com,(197)947-7361x1402,Lake Oliviaville,ME,USA,Retail
CUST0021,Nicole,Mcclain,nicole.mcclain@example.com,543-567-4540x709,Donshire,TX,USA,SME
CUST0022,Brent,Graham,brent.graham@example.com,834-424-9878,Heatherborough,VA,USA,SME
